ticker,fiscal_year,filing_date,accession_number,source_file,total_net_revenue,net_interest_income,noninterest_revenue,total_noninterest_expense,pre_provision_profit,provision_credit_losses,income_before_tax,net_income,eps_basic,eps_diluted,efficiency_ratio,total_assets,total_liabilities,total_equity,total_loans_gross,allowance_loan_losses,net_loans,total_deposits,long_term_debt,short_term_borrowings,trading_assets,investment_securities_afs,investment_securities_htm,cash_due_from_banks,tier1_capital,tier1_capital_ratio,total_capital_ratio,tier1_leverage_ratio,cet1_ratio,rwa,tbvps,bvps,roe,roa,rotce,nim,net_charge_offs,net_charge_off_rate,npl,npa,npl_ratio,allowance_coverage_ratio,derivatives_notional,level1_assets,level2_assets,level3_assets,level3_pct_assets,var_value
BAC,2022,2023-02-22,0000070858-23-000092,2023-02-22_0000070858-23-000092.htm,94950.0,52462.0,42488.0,61438.0,33512.0,2543.0,30969.0,27528.0,,3.19,55.33,3051375.0,2778178.0,,1045747.0,73.0,-86010.0,1986158.0,275982.0,26932.0,,960.0,5853.0,230203.0,,13.1,14.0,7.7,11.2,29.0,,,,0.88,,,2172.0,,,,,,,,,,,
BAC,2023,2024-02-20,0000070858-24-000122,2024-02-20_0000070858-24-000122.htm,98581.0,56931.0,41650.0,65845.0,32736.0,4394.0,28342.0,26515.0,,3.08,52.54,3180151.0,2888505.0,,1053732.0,71.0,-17484.0,1887541.0,302204.0,32098.0,,,5414.0,333073.0,,13.5,14.5,7.6,11.8,29.0,,,,0.84,,,3799.0,,,,,,,,,,,
BAC,2024,2025-02-25,0000070858-25-000139,2025-02-25_0000070858-25-000139.htm,101887.0,56060.0,45827.0,66812.0,35075.0,5821.0,29254.0,27132.0,,3.21,57.04,3261519.0,2965960.0,,1095835.0,72.0,-52576.0,1924106.0,283279.0,43391.0,,,5005.0,290114.0,,13.5,14.5,7.6,11.9,27.1,,,,0.83,,,6031.0,,,,,,,,,,,
BAC,2025,2026-02-25,0000070858-26-000157,2026-02-25_0000070858-26-000157.htm,113097.0,60096.0,53001.0,69727.0,43370.0,5675.0,37695.0,30509.0,,3.81,61.652386889130575,3411738.0,3108495.0,,1185700.0,73.0,-90548.0,1984182.0,317816.0,48088.0,,,4601.0,231845.0,,12.5,13.5,7.4,11.4,26.3,,,,0.89,,,5631.0,,,,,,,,,,,44.0
BK,2007,2008-02-28,0001193125-08-041952,2008-02-28_0001193125-08-041952.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
BK,2008,2009-02-27,0001193125-09-041050,2009-02-27_0001193125-09-041050.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
BK,2009,2010-02-26,0001193125-10-042948,2010-02-26_0001193125-10-042948.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
BK,2010,2011-02-28,0001193125-11-049932,2011-02-28_0001193125-11-049932.htm,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,3.0,,,,,,,,,,,,,,,,,,,,
BK,2011,2012-02-28,0001193125-12-085349,2012-02-28_0001193125-12-085349.htm,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,3.0,,,,,,,,,,,,,,,,,,,,
BK,2012,2013-02-28,0001193125-13-084562,2013-02-28_0001193125-13-084562.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BK,2013,2014-02-28,0001445305-14-000745,2014-02-28_0001445305-14-000745.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BK,2014,2015-02-27,0001628280-15-001194,2015-02-27_0001628280-15-001194.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BK,2015,2016-02-26,0001390777-16-000204,2016-02-26_0001390777-16-000204.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BK,2016,2017-02-28,0001390777-17-000065,2017-02-28_0001390777-17-000065.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BK,2017,2018-02-28,0001390777-18-000069,2018-02-28_0001390777-18-000069.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BK,2018,2019-02-27,0001390777-19-000050,2019-02-27_0001390777-19-000050.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BK,2019,2020-02-27,0001390777-20-000044,2020-02-27_0001390777-20-000044.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BK,2020,2021-02-25,0001390777-21-000037,2021-02-25_0001390777-21-000037.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BK,2021,2022-02-25,0001390777-22-000043,2022-02-25_0001390777-22-000043.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BK,2022,2023-02-27,0001390777-23-000033,2023-02-27_0001390777-23-000033.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BK,2023,2024-02-28,0001390777-24-000051,2024-02-28_0001390777-24-000051.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BK,2024,2025-02-27,0001390777-25-000046,2025-02-27_0001390777-25-000046.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BK,2025,2026-02-25,0001390777-26-000033,2026-02-25_0001390777-26-000033.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,2002,2003-03-03,0001047469-03-007460,2003-03-03_0001047469-03-007460.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,2003,2004-03-01,0001047469-04-006087,2004-03-01_0001047469-04-006087.htm,94713.0,,,,,2935.0,14321.0,17853.0,,,,60000.0,51744.0,96889.0,130500.0,12643.0,,474015.0,162702.0,6647.0,,,,579.0,,4.0,,3.0,,,,,,5.19,,10.1,,,,,,,,,,,,
C,2004,2005-02-28,0001047469-05-004988,2005-02-28_0001047469-05-004988.htm,108276.0,,,,,3396.0,17417.0,17046.0,,,,1484101.0,1374810.0,108166.0,155300.0,11269.0,537560.0,562081.0,207910.0,30968.0,,,,23556.0,,4.0,,3.0,,,,,17.0,4.95,,9.95,,,,,,,,,,,,
C,2005,2006-02-24,0001047469-06-002377,2006-02-24_0001047469-06-002377.htm,120318.0,,,,,2567.0,15864.0,16.0,,,,1494037.0,1381000.0,111412.0,40.4,9782.0,573721.0,592595.0,217499.0,66930.0,,,,10.0,,4.0,,3.0,,,,,22.3,2.04,,10.85,,,,,,,,,,,,
C,2006,2007-02-23,0001193125-07-038505,2007-02-23_0001193125-07-038505.htm,9584.0,,,,,1487.0,16787.0,16.0,,,,1884318.0,1764000.0,,63.0,8940.0,461455.0,279499.0,288494.0,5256.0,,,,10084.0,,4.0,,3.0,,,,,18.8,1.98,,10.26,,,,,,,,,,,,
C,2007,2008-02-22,0001193125-08-036445,2008-02-22_0001193125-08-036445.htm,81698.0,,,,,1390.0,10666.0,19.0,,,,2187631.0,2074000.0,,43.0,16117.0,517742.0,826230.0,427112.0,16727.0,1728.0,,,11364.0,,4.0,,3.0,,,,22.74,2.9,1.07,,2.45,,,,,,,,,,,,
